epoch;acc;loss;val_acc;val_loss
0;0.6903976386238001;0.67825208413122762;0.29329173166926675;   11.390791156704612
1;0.71644382727065425;0.56945576890720884;0.53822152886115449;  1.3447286683612745
2;0.72147942368697326;0.56045252526669598;0.5070202808112324;   0.93545355504834893
3;0.72356311880397517;0.55721368793191794;0.62714508580343209;  0.67825384483369022
4;0.72234762999348645;0.55744083836625524;0.71762870514820598;  0.59445150073344544
5;0.72477860754201506;0.55596797678242504;0.57878315132605307;  0.81418944744163668
6;0.72286855375462467;0.55349418669447426;0.67706708268330729;  0.61251375014064091
7;0.72408404257546322;0.55525144475639476;0.66770670826833078;  0.61404389747405386
8;0.72217398870527427;0.55503446006551349;0.60842433697347897;  0.73222493427963975
9;0.71887480483988253;0.55673530345411015;0.6318252730109204;   0.73336154882695859
10;0.72078485859622354;0.55336089389029008;0.65990639625585024; 0.60820541157737351
11;0.72338947752611282;0.5513980571212278;0.68954758190327614;  0.62836982921207563
12;0.72391040134935003;0.55195302495651721;0.66614664586583461; 0.6184724122983245
0;0.70585171049058093;0.56804236880936831;0.32449297971918878;  4.3849201637508122
1;0.71383920841321369;0.56316304074370382;0.32137285491419659;  5.3745255909174352
2;0.72582045506429171;0.56218227616282135;0.41809672386895474;  4.8812825162771523
3;0.72460496637800087;0.55589682686595909;0.5569422776911076;   0.76660670319139124
4;0.72807779145915597;0.55534791433059794;0.63338533541341657;  0.65493165637699191
5;0.72495224879917786;0.55539536302258186;0.51638065522620902;  0.803317467619588
6;0.72234763003488567;0.56671349100612023;0.69110764430577221;  0.59924529774140645
7;0.72095849991548511;0.5572077428058817;0.65834633385335417;   0.73416480047456834
8;0.72304219499108779;0.55840380592548222;0.68330733229329177;  0.61798619945038125
9;0.72686230272111596;0.55516767982062953;0.70670826833073319;  0.59058784694641875
10;0.72408404257546322;0.55380519356738367;0.70202808112324488; 0.62541281005335669
0;0.72443132511048836;0.55460231559602391;0.5819032761310452;   0.69339933842653045
1;0.7218267061598993;0.55608957271585036;0.48049921996879874;   1.7596358427205436
0;0.72182670622199829;0.5590378822686668;0.70826833073322937;   0.96004094186641409
1;0.72477860765586322;0.55799964762205956;0.71294851794071767;  0.63674070505939673
2;0.72217398867422478;0.55859153480615897;0.48049921996879874;  1.2314364901989372
3;0.72495224885092691;0.55209139228012027;0.64742589703588138;  0.63655336310450628
4;0.72911963902283183;0.55303502129398918;0.68954758190327614;  0.5934350871816626
5;0.72582045518848959;0.55060954847607391;0.40405616224648988;  1.1375228631515026
6;0.72668866144325361;0.55204583980035693;0.64586583463338532;  0.63399870765748523
